candidate,percentage,n_states,k_ref,k_candidate,overlap_count,overlap_pct_of_ref,overlap_pct_of_candidate,jaccard_pct
ppo_zreward_minus_0.25_zcost,30.0,1000000,300000,300000,58916,19.638666666666666,19.638666666666666,10.888512689342136
ppo_zreward_minus_0.25_zcost,35.0,1000000,350000,350000,74734,21.35257142857143,21.35257142857143,11.952353078529777
ppo_zreward_minus_0.25_zcost,40.0,1000000,400000,400000,93314,23.3285,23.3285,13.20445006693213
ppo_zreward_minus_0.3_zcost,5.0,1000000,50000,50000,6683,13.366,13.366,7.161610424681462
ppo_zreward_minus_0.3_zcost,10.0,1000000,100000,100000,16626,16.626,16.626,9.066716110244636
ppo_zreward_minus_0.3_zcost,20.0,1000000,200000,200000,37265,18.6325,18.6325,10.273340041628186
ppo_zreward_minus_0.3_zcost,25.0,1000000,250000,250000,50320,20.128,20.128,11.190179683330369
ppo_zreward_minus_0.3_zcost,30.0,1000000,300000,300000,64304,21.434666666666665,21.434666666666665,12.003823063827245
ppo_zreward_minus_0.3_zcost,35.0,1000000,350000,350000,80626,23.036,23.036,13.017336859474243
ppo_zreward_minus_0.3_zcost,40.0,1000000,400000,400000,99464,24.866,24.866,14.198271038176483
